"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?",Compound_Score,Sentiments
"Provided information from sensors in physical space is accumulated in cyberspace and analyzed by artificial intelligence, and the results are fed back to humans in physical space in various forms.",0.4767,Positif
Growing,0.1779,Positif
A Human-centered concept that collaborates with technology in solving social problems. It is hoped that with this concept various gaps in society can be resolved more effectively,0.7346,Positif
There needs to be a personal adjustment of how to be able to follow the direction of this new development and if it brings positive things,0.5574,Positif
I think I don't know,0.0,Netral
"Society 5.0, in my opinion, is something that will make it easier for humans in their daily lives and can help with increasingly diverse problems. Even though society 5.0 seems to sound like high technological progress, in this era human soft skills also play an important role so that technological advances can integrate with real life.",0.8834,Positif
"It doesn't matter as long as there are changes that are so fast, the HR must also be ready for the changes by means of continuous improvement of skills and etc.",0.6626,Positif
"In my opinion society 5.0 has its positive and negative impacts. The positive impact is that human work can be facilitated and even replaced by existing technology, so that it will save more on labor costs. However, the negative impact will be more unemployment if the human resources cannot adapt to existing technological developments, one of which is by increasing their soft skills.",-0.0498,Negatif
Very helpful and makes work easier,0.7089,Positif
As an extraordinary change that changed the pattern of people's lives,0.0,Netral
"It is very good that society 5.0 is due to advances in technology so that all work is expected to be more efficient and effective. However, in this era it is hoped that there will be human resources who are able to keep up with sophistication so that they are not displaced by increasingly sophisticated technology. In this era, humans are expected to be able to adapt to various challenges and problems with various increasingly sophisticated technological innovations.",0.952,Positif
"Very challenging accompanied by increased skills in the IT field. Job requirements will also shift from conventional to digital, this is the reason for the emergence of new jobs with the most demand, such as digital marketing, data engineering, data analyst, business analyst, etc. This can be beneficial as well as threatening",0.4215,Positif
s there are advantages and disadvantages,-0.0516,Negatif
A human-centered concept of society tends to be based on technology.,0.0,Netral
Era 5.0 is an era of extraordinary technological development. The existence of technology is able to support and facilitate a job with the support of technology the work will be maximized.,0.6597,Positif
On the technologically literate side it is very profitable although there is a negative side to worry about,-0.5279,Negatif
Facilitate the work of accountants,0.0,Netral
This condition is a challenge for all of us. Many studies and discussions are needed to determine the impact as well as the pros and cons of this era.,0.34,Positif
"Yes, it will really help a company in pursuing its quantity target.",0.6901,Positif
"It's good, because with the concept of society 5.0 this can be a community solution, helping and making it easier to solve a problem",0.8074,Positif
"Well, as time goes by, technology must also be more advanced to facilitate human daily activities",0.5256,Positif
