"Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?",Compound_Score,Sentiments
Yes,0.4019,Positif
Of,0.0,Netral
Not all professions,0.0,Netral
"Maybe it hasn't had an impact on all areas of the profession, because some professions are not all related to 5.0 artificial intelligence",0.4767,Positif
I think it brings intelligence,0.4767,Positif
"Of course it will have an impact. In the previous era, namely the industrial revolution 4.0, there were several fields of profession that had been replaced by machines/robots.",0.0,Netral
"Yes, it has an impact because everything is influenced by technology.",0.4019,Positif
Of,0.0,Netral
Very impactful,0.0,Netral
"certainly have an impact, especially in terms of efficiency and effectiveness of professional work",0.5994,Positif
"Yes, some professions may have an impact because there is technology that can replace the role of humans.",0.4019,Positif
Suree. The field of education alone must use blended learning. Conventional agriculture loses competitiveness with modern farming.,-0.5106,Negatif
Influential,0.4404,Positif
Yes,0.4019,Positif
very impactful,0.0,Netral
"Not bad impact, because there will be work effectiveness and efficiency",0.6542,Positif
"More or less, now all fields are starting to transform to digital",0.0,Netral
"Yes, definitely, because there will be less human labor used.",0.6597,Positif
"It has an impact, because society will continuously be required to develop skills to solve social problems that occur as a result of the emergence of the industrial revolution, which is in line with Indonesia's golden mission in 2045.",-0.2263,Negatif
Certainly because the concept of society 5.0 is based on the use of various innovations and is centered on technology,0.34,Positif
"Yes, starting from health, education, sales, the accounting profession and other professions, everything is facilitated by the existence of society 5.0",0.4019,Positif
Of,0.0,Netral
No,-0.296,Negatif
"of course there are many professions that will have an impact. Some have a positive impact and some have a negative impact. the positive impact is mostly felt by the middle class or middle management and top management. the negative impact will be felt by many people at the lowest level of management, workers and laborers because they are very close to the factors of production which of course will be easily replaced by technology.",0.1027,Positif
"of course with the emergence of society 5.0 it has a huge impact on the profession. as an example, it is now very possible to do work from home/WFH where this habit started during the Covid-19 outbreak and it turns out that this is felt to be effective at work. because each worker can coordinate without having to meet. One more thing, once I saw a video on a YouTube account where he bought food at a stall using a remote car, camera and HT. this proves that society 5.0 has a great impact on all fields of the profession, even those at the lowest level can also be affected.",0.6705,Positif
"Gradually it will have an impact, not only about some professions that are no longer needed, but there will be the emergence of new professions",-0.1531,Negatif
It impacts everything,0.0,Netral
"In my opinion, the emergence of society 5.0 has had a huge impact on the professional sector due to big data, robotics and artificial intelligence.",0.6597,Positif
"I think yes, society 5.0 can have an impact on all areas of the profession.",0.4019,Positif
"Yes, it has an impact and in this era all professions must adapt to existing technological developments",0.4019,Positif
Of,0.0,Netral
Can,0.0,Netral
impact,0.0,Netral
impact,0.0,Netral
"Yes, it will certainly have an impact on all areas of the profession",0.6249,Positif
Of course this will have an impact on all areas of the profession because each profession must have repetitive activities that can be automated by the system.,-0.25,Negatif
in certain fields of work,0.2732,Positif
"Yes, because all of these technologies will be more efficient or even more accurate than the results of human work.",0.6997,Positif
Impact on several professions,0.0,Netral
can,0.0,Netral
"Yes, because like it or not, everything will get easier, even without realizing it, artificial intelligence is highly sought after by people who are skilled at this job. For the needs of all lines of work, both business and government",0.8779,Positif
can,0.0,Netral
"In my opinion, the impact is not too big because the role of humans is still quite important, such as decision making",0.2716,Positif
Can,0.0,Netral
"Impact, with advances in technology like that can have a positive impact on various professions such as facilitating the tasks and responsibilities they receive, but on the other hand their profession can also be eliminated if they are unable to compete with technological advances",0.81,Positif
"It doesn't affect all areas of the profession, but most of it will be affected.",-0.2263,Negatif
"Not all, but it does have an impact on most of the existing professions. For example, online motorbike taxis, with the development of big data, it will increase job vacancies and increase the profession of being an ojol father. As for other forms of impact in the form of reduced human resources needed in accounting records, for example there was a profession to record receivables and cash receipts separately, record journals and manual ledgers, now it can be done in a real-time and instant application by only 1 person, for example with Accurate/Myob software.",0.7096,Positif
of,0.0,Netral
"Obviously impact. However, the presence of technology, big data etc. can make human work easier.",0.4215,Positif
"Yes, it has an impact because it provides information/data quickly and precisely",0.4019,Positif
"Yes It cannot be denied, because big data, robotics and artificial intelligence when used in a professional field are very helpful and profitable in terms of time and accuracy.",0.9255,Positif
"Maybe not all professions, but there will be many professions that have an impact",0.0,Netral
"Yes society 5.0 has quite an impact on all areas of the profession due to big data, robotics and artificial intelligence.",0.7003,Positif
"As a result, some professions have even been replaced by the system",0.0,Netral
"In my opinion, almost all fields or professions can be replaced by sis, but in terms of natural intelligence, like the operation of each tool, human power is still needed",0.8922,Positif
"for sure yes, today's youth must be smart to find a job that has its own specialties, so it can't be replaced by artificial intelligence.",0.8689,Positif
It's very impactful,0.0,Netral
The emergence of society 5.0 has had an impact on several professions. Given that human performance will be replaced by AI artificial intelligence,0.4767,Positif
Of course,0.0,Netral
The professional sector is certainly affected. Regardless of the good or bad impact. The professional field is forced to transform in existing technological developments and adapt to these technological developments,-0.4215,Negatif
"Of course. The emergence of big data, robotics and artificial intelligence provides benefits for companies that want more effective and efficient work processes. This also has an impact on increasing competition, so that other companies will follow the development of society 5.0 and also use this advanced technology. The use of this technology makes the jobs that were usually done by humans before be replaced better and faster by robots and artificial intelligence. In addition to having a positive impact, negative impacts are also felt by all fields of the profession. If humans cannot compete with the advantages offered by these advanced technologies, then these professions will be threatened to be replaced by robots and artificial intelligence.",0.9726,Positif
Of course,0.0,Netral
"The emergence of society 5.0 will have an impact on all professions, not only fields that are technical and mathematical, even now there is artificial intelligence that is capable of producing images or works of art.",0.6908,Positif
"yes, because most of the human labor has been replaced by this",0.4019,Positif
"Yes, because this increasingly developing technology has an impact on companies that are increasingly assisted in processing information and various tasks. For workers it will also have an impact, why? Due to the emergence of society 5.0, workers will be required to further develop according to existing technological developments. If workers do not have the appropriate skills to perform the jobs required in Society 5.0, they are likely to lose their jobs.",0.0,Netral
"Yes, because with the emergence of society 5.0 it will make it easier for various fields of profession to make economic growth, people's lives become prosperous and comfortable",0.926,Positif
No,-0.296,Negatif
It could be,0.0,Netral
Not all professions have an impact on society 5.0. An example of such a profession is a teacher. Teachers not only teach knowledge but also provide emotional support to their students which robots cannot do,0.6652,Positif
"In my opinion, almost all professional fields appear, such as letter carriers that have been replaced with emails which make it easier for humans to send letters or certain documents, but behind the existence of several professions that are likely to disappear as a result of society 5.0, there will also be new professions that appear, for example web developers who are capable support programming in artificial intelligence",0.9042,Positif
Influential,0.4404,Positif
can,0.0,Netral
Can,0.0,Netral
Can,0.0,Netral
"Of course, with the current increasingly advanced era of science 5.0, it will have an impact on all areas of the profession, but even though it is influential in every profession, it still requires human abilities. Because not everything is done by robots and artificial intelligence.",0.9001,Positif
Making it easier to apply for work also has a negative impact on reduced employment opportunities,0.1779,Positif
"Society 5.0 Clearly has an impact on many professions, but not all professions are affected.",-0.0129,Negatif
