"Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?",Compound_Score,Sentiments
Yes,0.4019,Positif
No,-0.296,Negatif
No,-0.296,Negatif
"Yes, if that's the case, currently there are many examples of accounting that are assisted by tools and programs that now make it easier for the profession of an accountant",0.6705,Positif
I think yes,0.4019,Positif
"Yes. For the preparation of financial reports, there are currently various applications that make it easier for accountants.",0.6705,Positif
Won't.,0.0,Netral
Of,0.0,Netral
Obviously hit,0.0,Netral
Definitely.,0.4019,Positif
"It is possible that the accounting profession will be affected by one of the impacts of this era, but there are parts of accounting activities that cannot be replaced by artificial intelligence. Therefore it is very important for accountants to be equipped with skills so they can adapt to technological advances, accountants must also keep abreast of existing technological developments. So that this era of society can help accountants work effectively and efficiently and this era is no longer a challenge but an opportunity to progress and be better than before.",0.9805,Positif
Without doubt,0.2755,Positif
in,0.0,Netral
Can,0.0,Netral
No.,0.0,Netral
hit it,0.0,Netral
Of,0.0,Netral
"If today's accountants do not have adequate skills, this could become a problem",-0.5213,Negatif
Likely yes. Because with the update it can make the work of the accounting profession easier,0.6705,Positif
"Yes, because of that humans need to improve the quality of their resources, to keep up with the transformation of the digital era, and continue to innovate.",0.8316,Positif
"No, because the accounting profession and technology will evolve together. The accounting profession will not be lost and irreplaceable",0.2411,Positif
"Yes, because most of the accounting profession now uses digital technology",0.4019,Positif
Of,0.0,Netral
No,-0.296,Negatif
"no, it will actually make the work of an accountant easier. accountants will be greatly assisted in identifying questions on data, conducting
statistical analysis, checking data quality, interpreting data processing results, and what technology cannot do is become
advisor (As a general business adviser, as a specialist adviser, take
role as business partner)",0.4215,Positif
"yes, with the use of technology in all its activities",0.4019,Positif
"It is likely to be affected, because it can be replaced by an application",-0.1531,Negatif
Can,0.0,Netral
I don't think so,0.0,Netral
"Yes, I think the accounting profession is one of the professions that will be affected by disruption, for example, in a small way, there are currently many businesses that do not use manual recording but have started using accounting applications that can generate financial information automatically.",-0.0516,Negatif
There is. The field of accounting profession in the future allows for the emergence of new technology-based innovations that can help/lighten the work of accountants,0.0,Netral
Of,0.0,Netral
Can,0.0,Netral
No,-0.296,Negatif
No,-0.296,Negatif
Can,0.0,Netral
"Yes, the accounting profession is certainly affected. Repetitive work can now be done by machines or applications, maybe even the results will be more accurate and high-volume jobs can be completed more quickly.",0.3612,Positif
Can,0.0,Netral
"Yes, but not completely because what is disrupted is the level of bookkeeping and preparation.",0.2144,Positif
Can,0.0,Netral
not all just some,0.0,Netral
Yes,0.4019,Positif
can,0.0,Netral
"In my opinion, it has not been too affected because accountants still have a big role in decision making",0.1139,Positif
No,-0.296,Negatif
