"Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?",Compound_Score,Sentiments
Yes,0.4019,Positif
Of,0.0,Netral
The technology can be used but does not completely eliminate the role of humans,0.0,Netral
Yes that is clear to me Kira,0.6486,Positif
I don't think I know,0.0,Netral
"Yes However, in my opinion, for analysis, then those related to strategy or problem solving cannot be replaced with robotics or AI. Because in my opinion, even though there is a robotic or AI that decides a choice, it's humans, not technology.",0.34,Positif
"There must be a change towards technological sophistication, such as an increasingly sophisticated basis for financial reporting without a manual system, but in decision-making and strategic decision making it is still human control and cannot be replaced with AI, robots, etc.",0.3182,Positif
Of,0.0,Netral
Of course,0.0,Netral
"Not necessarily, because the job of an accountant is not just to record but has the authority to provide audit considerations or opinions, this requires critical reasoning from accountants that technology does not have.",-0.3612,Negatif
"Maybe if the accounting profession uses more artificial intelligence such as bookkeeping and record keeping applications. This is good because that way the bookkeeping process will be faster and more efficient. The presence of big data will also make the processes in accounting integrated with each other. Of course, these advantages must be controlled by human resources who have qualified technological capabilities.",0.8973,Positif
"Frankly speaking true. Contohnya penggunaan software Xero, Oracle, and many more.",0.4215,Positif
"Yes, it's simpler with auto record",0.4019,Positif
"No, accounting skills still require analytical skills that will continue to be developed for future application so that the existence of technology cannot be separated from the role of the accounting profession as the main system that is able to provide analysis in an accountable and relevant manner.",0.0,Netral
sure,0.3182,Positif
Of,0.0,Netral
"If the company has sufficient funds, it is likely that it will utilize technology to expedite these activities. But for certain fields will still use an accountant",0.3919,Positif
"Certainly yes, but still requires humans in their work",0.3716,Positif
"No, because this digital transformation requires stages and processes, it doesn't necessarily eliminate accountants.",0.0,Netral
It is possible that if it is needed as soon as possible an accountant will at least use technology to make things easier,0.4215,Positif
"Yes, because it makes it easy, minimizes mistakes, and saves time",0.4767,Positif
Of,0.0,Netral
No,-0.296,Negatif
"Yes, they will partner a lot with technology (manipulate data, work
with robots or similar machines, train artificial intelligence models) and develop
to new areas.",0.7003,Positif
"Yes, of course. it has been proven at this time, many jobs use robotic technology etc. and even that also has an impact on accelerating the completion of the work itself.",0.4019,Positif
"For some fields it may not be, such as making the necessary financial reports. Companies, for example, because companies also need those for tax purposes",0.0,Netral
Can,0.0,Netral
"I think it could be. However, not everything can be done with robotic technology, big data and artificial intelligence in their activities.",0.4767,Positif
"Yes, I think it's true that the disruption in the accounting profession has made the profession use more technology in its activities. For example, currently many applications have been developed for automatic accounting records.",0.4588,Positif
"Yes, the use of robotic technology, big data and artificial intelligence in the accounting profession is intended to make work easier",0.8225,Positif
"Yes, of course the implementation of robotic technology, big data and artificial intelligence will be increasingly used, especially since every company certainly wants more effective and efficient processes in managing its business.",0.9281,Positif
Can,0.0,Netral
No,-0.296,Negatif
No,-0.296,Negatif
"Yes, of course the company will keep up with the times to use robotic technology, big data and artificial intelligence, even though the costs incurred are relatively expensive, but this is an early investment made by the company to cut costs incurred in the future.",0.0644,Positif
"Yes, in completing work, of course you will choose which option is more efficient. In my opinion, the accounting profession must take advantage of developing technology so that it is not left behind by other professions.",0.7778,Positif
Can,0.0,Netral
"Will be an auxiliary instrument, but still requires humans in the form of control and supervision.",0.0,Netral
Can,0.0,Netral
"yes, but there are some jobs in accounting that cannot be replaced",0.2144,Positif
"Yes, which makes it very easy for users and the output results will be more credible.",0.7089,Positif
can,0.0,Netral
"Yes, the use of technology will be needed because it really helps in data collection",0.6801,Positif
Yes that's right,0.4019,Positif
"Yes, with technological advances, an accounting profession will try to be able to work side by side with increasingly advanced technology. This technology can provide convenience in completing the duties and responsibilities of the accounting profession",0.5719,Positif
50 : 50. Because in my opinion the ability of staff with basic accounting itself will still have advantages compared to robotic technology. And the robotic technology still requires human workers who are experts in their fields.,0.5859,Positif
"Yes, because more and more people need something instant and easy.",0.6808,Positif
"fifty"" because the foundation of making AI itself requires people who are proficient with accounting",0.0,Netral
"Obviously technological devices, big data are definitely used especially in the area of ​​accounting information systems",0.4019,Positif
"It is possible because it is more effective, efficient compared to human resources which are sometimes less effective/efficient while spending on large salaries/wages finances workers.",0.7559,Positif
"Yes. Because now it seems that using robotic technology, big data, and artificial intelligence will help accountants and checks (audits), besides that it will also be more efficient in working on daily, weekly, and so on financial reports. Thus, the role of accountants could be replaced with AI and the accounting profession for that field would no longer be needed.",0.8553,Positif
"In my opinion, it depends on the needs of the sector and industry, but what is certain is that the sector and industry have great potential to choose existing facilities technologically.",0.8519,Positif
"I don't think so because accounting needs humans to research and play a role in this matter and not solely use ITU or Robotic knowledge, in my opinion it is only a support for roles in the world of accounting",0.6399,Positif
"Maybe yes, but not much or all of the expertise of the accounting profession has been replaced by this technology. Because even machines, computers, or robots that have used artificial intelligence will not be able to do as good a job as a professional accountant.

The existence of business competition will require an accounting profession to be more innovative/creative in making strategic decisions and based on discretion. Now this cannot be replaced by robotic technology, big data and artificial intelligence.",0.9325,Positif
"Many jobs in accounting still use AI, etc., but this still needs guides/people working in the system",0.0,Netral
"Yes, of course it can't be denied, like before, accountants used paper as a medium for recording financial reports, but now there are many applications that are able to record it in digital form, even inputting all transactions can be done automatically.",0.2495,Positif
"with the company's financial management assistant application, in my opinion yes",0.4019,Positif
Can,0.0,Netral
"It is true that machines are now capable of doing complex jobs that seem impossible to do. Robotic is able to learn like humans who experience the learning process and learn from experience. However, humans still have advantages compared to machines. Humans can make decisions based on incomplete information and require judgment. It cannot be done by artificial intelligence or AI",0.91,Positif
Of course,0.0,Netral
"The use of technology to replace professions is a discourse that may be realized, but the use of robotic technology, big data, and AI can also be influenced by culture and regulations.",0.0,Netral
"Yes. With increasingly fierce competition, all professions, including the accounting profession, will compete to be superior by using advanced technology. For those who don't follow more sophisticated trends, they will lose out to those who take advantage of these advanced technologies, sooner or later.",0.6552,Positif
Just maybe,0.0,Netral
"Increasing the use of robotic technology, big data and AI is very possible in the field of accounting because these technologies are likely to be able to make a difference to the performance of accountants",0.0,Netral
can,0.0,Netral
"Robotic technology, big data and artificial intelligence will still be widely used but not as much as human workers, if accountants can improve their soft skills in various fields to remain able to keep abreast of and be responsive to changes.",0.8462,Positif
"In that case it could happen, but even though there have been developments in digital matters in the field of the accounting profession, it will still require the performance of human resources",0.0387,Positif
can,0.0,Netral
Can,0.0,Netral
"No, because even though using the help of technology, external information sources, data must still be required, its validity is maintained, and it is strictly monitored so that SPI is also used, the correctness of information generated using technology depends on the quality and reality of external information sources.",0.4019,Positif
"Yes, the basic work of an accountant will use robotics or big data much more, such as payroll, tax payments, or the audit itself to support this work and make it easier for an accountant to provide financial information and of course maintain the security of the financial data itself.",0.8625,Positif
It could be because today more and more use AI.,0.0,Netral
