"Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
Yes,0.4019,Positif
No,-0.296,Negatif
No,-0.296,Negatif
Maybe he can,0.0,Netral
I think keep on competing,0.0,Netral
"It seems that some of the tasks of accountants will be shifted by robots or AI, such as the current preparation of financial reports that are assisted by various applications.",0.0,Netral
"No, the reason is the same as the one above and cannot be replaced.",0.0,Netral
"Yes, but it won't pan all the way",0.2144,Positif
"Shifted, just can't be removed",0.0,Netral
"Maybe in some lines of work ""accounting will be facilitated by technology, technology only reduces the role of accountants but does not shift the existence of accountants",0.0,Netral
"Most likely it will be shifted if accountants are unable to adapt to existing technology, I think the accounting profession will still be needed in the future even though the number will decrease because of this artificial intelligence",0.5267,Positif
"Nope. Accounting is a complex profession that requires problem solving, critical thinking, analytics, etc. skills that cannot be replaced by technology. But who knows, it might be replaced.",-0.2023,Negatif
Ada,0.0,Netral
"no, it still requires human power",0.0,Netral
20 years,0.0,Netral
"It could be yes, 15 years as long as it is maintained/repaired regularly.",0.4019,Positif
"Technology will not replace the job of an accountant. Despite experiencing many changes, the accounting profession is still considered to exist today. In order to be able to adapt to the increasingly sophisticated era of digital transformation, an accountant needs to upgrade his quality",0.5574,Positif
approximately 10 years,0.0,Netral
Not completely,0.0,Netral
All depends on the development and acceptance of the technology. Certainly the role of policy makers also determines this.,0.6597,Positif
"Small possibility yes. Because in the field of accounting is a very sensitive field there is a company. Because it involves company finances that must be clear and there is accountability from humans. Because as sophisticated as robotics and AI are, it is still possible for errors to occur.",0.7579,Positif
"No, because not all of them can replace the role of accountants",0.0,Netral
"Any technology cannot replace the role of the accounting profession, even though some news about the profession will be replaced and undergo many changes, the accounting profession is considered to still exist today. Therefore, in order to be able to adapt to the increasingly sophisticated era of digital transformation in the future, an accountant needs to upgrade his quality.",0.5574,Positif
"No, like the answer above that the accounting profession will not be replaced. Rather they will evolve together",0.3612,Positif
"No, because robotics and intelligence only facilitate and make work time more efficient, but their main role still requires the accounting profession",0.476,Positif
Of,0.0,Netral
No,-0.296,Negatif
NO. Because technology does not have instincts and feelings,0.0,Netral
"it could be that the accounting profession will be disrupted by this technology, but again humans are the center of control.",0.0,Netral
"For some fields in the accounting profession it may be, but not all",0.0,Netral
Can,0.0,Netral
"I don't think so. Because despite the existence of these technologies, the role of the accounting profession is still very much needed.",0.0,Netral
